playerId,Season,TeamKor,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
55855,2025,SSG,P,7,7,41 1/3,2,0,5,4,0,0.818,0,0,0,-
66917,2025,SSG,3B,6,3,30,1,0,3,7,1,0.909,0,0,0,-
55844,2025,SSG,1B,6,5,45,0,0,43,5,5,1,0,0,0,-
66864,2025,SSG,SS,6,2,22,0,0,3,1,0,1,0,0,0,-
69804,2025,SSG,OF,6,1,21,0,0,4,0,0,1,0,0,0,-
54803,2025,SSG,P,6,0,9,0,0,0,1,0,1,0,0,0,-
62895,2025,SSG,OF,6,6,44,0,0,10,0,0,1,0,0,0,-
66917,2025,SSG,2B,5,3,21 2/3,0,0,3,4,0,1,0,0,0,-
60841,2025,SSG,P,5,5,19,0,0,1,8,1,1,0,0,0,-
60558,2025,SSG,OF,5,2,20,0,0,3,0,0,1,0,0,0,-
69804,2025,SSG,OF,5,4,32,0,0,8,0,0,1,0,0,0,-
76802,2025,SSG,SS,4,2,19,0,0,2,8,1,1,0,0,0,-
66917,2025,SSG,SS,4,0,5,1,0,2,3,2,0.833,0,0,0,-
54802,2025,SSG,P,4,0,5 2/3,0,0,0,0,0,-,0,0,0,-
52804,2025,SSG,3B,4,3,20,1,0,0,2,0,0.667,0,0,0,-
66858,2025,SSG,P,4,0,7 1/3,1,0,1,1,0,0.667,0,0,0,-
69804,2025,SSG,OF,4,2,18,0,0,6,0,0,1,0,0,0,-
66864,2025,SSG,2B,3,3,24,0,0,3,9,2,1,0,0,0,-
68805,2025,SSG,OF,3,0,3,0,0,1,0,0,1,0,0,0,-
68868,2025,SSG,OF,3,2,15,0,0,5,0,0,1,0,0,0,-
69825,2025,SSG,OF,2,0,4,0,0,0,0,0,-,0,0,0,-
61895,2025,SSG,P,2,0,1 1/3,0,0,0,0,0,-,0,0,0,-
52809,2025,SSG,P,2,2,8 2/3,0,0,0,1,0,1,0,0,0,-
68805,2025,SSG,OF,2,0,4,0,0,0,0,0,-,0,0,0,-
75847,2025,SSG,3B,2,2,18,1,0,0,2,1,0.667,0,0,0,-
69825,2025,SSG,OF,1,0,2,0,0,0,0,0,-,0,0,0,-
54815,2025,SSG,OF,1,0,4 2/3,0,0,0,0,0,-,0,0,0,-
54815,2025,SSG,OF,1,0,1 2/3,0,0,0,0,0,-,0,0,0,-
55897,2025,SSG,2B,1,0,1,0,0,0,1,0,1,0,0,0,-
52415,2025,Samsung,SS,52,52,433,8,0,77,114,22,0.96,0,0,0,-
74540,2025,Samsung,C,50,42,380 1/3,1,0,323,21,0,0.997,4,29,5,14.7
62404,2025,Samsung,OF,47,44,366,1,0,86,0,0,0.989,0,0,0,-
54400,2025,Samsung,1B,45,43,384,1,0,341,34,30,0.997,0,0,0,-
62234,2025,Samsung,2B,45,36,318,0,0,78,86,24,1,0,0,0,-
67449,2025,Samsung,OF,43,35,328,0,0,95,1,1,1,0,0,0,-
52430,2025,Samsung,3B,41,39,335,4,0,27,65,8,0.958,0,0,0,-
62360,2025,Samsung,P,27,0,27,1,0,0,4,1,0.8,0,0,0,-
61404,2025,Samsung,OF,27,20,178,0,0,34,0,0,1,0,0,0,-
55455,2025,Samsung,P,27,0,22 2/3,0,0,1,3,0,1,0,0,0,-
53455,2025,Samsung,P,27,0,26 2/3,0,0,3,2,0,1,0,0,0,-
